id,asins,brand,categories,colors,dateAdded,name,prices.amountMin,prices.currency
AVpfI-6OLJeJML433P81,"B00YTD3MZE,B00YTD3UGK,B00YTD494M,B00YTD3K2O",Nike,"Sporting Goods,Team Sports,Soccer,Clothing, Shoes & Accessories,Shoes & Cleats,Men",Orange,2016-07-07T19:13:47Z,New Nike Men's Hypervenom Phelon Ii Fg Soccer Cleat Mtlc Red Bronze 13,72.90,USD
AVpfK5sl1cnluZ0-faEP,B005FGLF1M,Medline,"Casual,Men,Scrubs,Home Health Care,Health,Clothing, Shoes & Jewelry,Pants,Clothing",Multi-Colored,2017-01-07T20:44:51Z,Medline Angelstat Reversible Drawstring Scrub Pant,20.99,USD
AVpfCNdwLJeJML4308gO,B00OBQTFKU,Carrera,"Sunglasses,Accessories,Men,Contemporary & Designer,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories,Clothing","Matte Black,Matte Ruthenium,Light Gold,Semi Metallic Brown",2015-10-16T18:52:32Z,Carrera 90/s Sunglasses,87.75,USD
AVpfDlggLJeJML431aAm,"B005CMG9DI,B005962JCW,B009LORWZC",Nike,"Shoes,Clothing, Shoes & Jewelry,Men,Athletic,Fitness & Cross-Training",BlackBlackHyper Jade,2016-03-27T12:10:12Z,Nike Men's Air Griffer Max Ii Training Shoe,114.99,USD
AVpe80tJLJeJML43zBlo,B01CUFJ7HE,Casio,"Clothing, Shoes & Jewelry,Men,Watches,Wrist Watches,Jewelry,Men's Watches",Black,2016-04-15T11:51:49Z,Casio G-shock Mt-g Tough Solar  Mens Watch Mtgs1000v-1acr,1400.0,USD
AVpfE0wp1cnluZ0-dXMe,"B0013GC4FO,B00375A0AA,B006HSCVJW,B001ANI3RI,B00375F5LY",Devon & Jones,"Clothing, Shoes & Jewelry,Clothing,Men's Clothing,Men's Outerwear,All Men's Clothing","Charcoal,Green Leaf,Red,Black,Navy,Cadet",2016-05-21T13:11:40Z,D770 Wintercept Fleece Unisex Vest,55.76,USD
AVpfBfcAilAPnD_xTQU1,B016A2KJ5M,Seiko,"Clothing, Shoes & Jewelry,Men,Watches,Wrist Watches",Black,2016-04-02T14:42:35Z,Seiko Mens 5 Sports Analog Dress Automatic Watch Nwt Snzj05k1,134.11,USD
AVpfCgvhilAPnD_xTnKh,"B00M9CDQTE,B00M9CDQT4",Nike,"All Men's Shoes,Shoes,Men's Shoes,Clothing",BlackSailAtomic OrangeVolt,2015-10-14T03:07:25Z,Nike Flyknit Max Running Men's Shoes Size,155.36,USD
AVpe9uSsilAPnD_xR6xe,"B015USZFLU,B015UT0WZS",Calvin Klein Jeans,"Jeans,Men,Clothing, Shoes & Jewelry,Clothing",Bradford,2016-03-11T00:16:34Z,Calvin Klein Jeans Men's Straight Fit Jean In Bradford,39.99,USD
AVpe8IqS1cnluZ0-aTDC,"B010KPX2RC,B004NZGE8K,B011KDE5WO,B00TT037KW,B00TT02GJK,B00TT030IQ,B00TYW2U4O",Nike,"Athletic,Team Sports,Men,Basketball,Shoes,Clothing, Shoes & Jewelry","Multi,BlackBlackPersian VioletVlt,BlackMultiColorVolt,POISON GREENSEQUOIAVOLTSEQUOIA,BlackMulti Color-Volt,BlackBlack-Persian Violet-Volt,BLACKBRIGHT CRIMSON-ANTHRCT,BlackPersian VioletVoltBlack,BlackCrimson,Poison GreenSequoiaSqVlt,Sport RedObsidian,BlackBright Crimson-Anthracite,BlackBright Crimson,BlackMulti-Color-Volt,Grey,tumbled greyblack-night silver-white,Hot LavaBlackSunset Glow",2016-03-26T17:59:37Z,Men's Kobe X Basketball Shoe,179.95,USD
AVpe6aeW1cnluZ0-Zq8r,B0194LWHEC,Timex,"Watches,Women's Watches,Jewelry,Clothing, Shoes & Jewelry,Men,Wrist Watches","Silver,Two-Tone",2016-03-30T17:19:33Z,"Timex Men's Easy Reader Watch, Two-tone Stainless Steel Expansion Band",39.92,USD
AVpe9JnSLJeJML43zJMI,"B0168Y347W,B01697SRQG,B0168Y342M,B0193YQZCK",Jordan,"Athletic,Team Sports,Men,Basketball,Shoes,Clothing, Shoes & Jewelry","CHROME-BLACKWHITE-LIGHT GRAPHITE,-BLACKWHITE LT GRAPHITE,WhiteInfrared BlackBright Concord,White Infrared,WhiteInfrared Black,BLACKLT GRAPHITEWHITE,WhiteInfrrd BlkBrght Cncr,BlackWhite-Light Graphite,BlackWhiteLt Graphite",2016-05-17T01:18:19Z,Air 8 Retro Mens Basketball-shoes 305381,59.00,USD
AVpfRcmsilAPnD_xYlZl,B00EPKWS56,Maui Jim,"Accessories,Sunglasses,Men,Women,Shoes,Clothing, Shoes & Jewelry,Sunglasses & Eyewear Accessories","Matte BlackNeutral Grey,Tortoise Matte",2016-05-21T18:12:52Z,Maui Jim Mens Breakers Sunglasses Plastic,229.00,USD
AVpfLQHEilAPnD_xWjmJ,B01595K14A,Healing Hands,"Scrub Bottoms,Uniforms, Work & Safety,Men,Medical,Clothing, Shoes & Jewelry,Clothing","Ceil,Royal,Wine,Galaxy Blue,Navy,Black,Pewter",2016-03-01T16:27:58Z,Healing Hands Blue Label Men's Dylan Cargo Zip Fly Scrub Pant,28.76,USD
AVpfSZOPLJeJML436Ur6,"B00LLY645O,B00LLY63L4",K-Swiss,"Shoes,Clothing, Shoes & Jewelry,Men,Fashion Sneakers",Whitenavy,2016-05-20T14:12:54Z,Men's Express Ltr Athletic,71.50,USD
AVpfG0_R1cnluZ0-eDDf,"B00R2S7YLG,B00U7Z5WS8,B00SJIPNSE,B00R2RJHEY,B00PL9G66M",Helly Hansen,"Athletic,Men,Boating,Shoes,Clothing, Shoes & Jewelry","GreyOrange,Prussian BlueNavyOff,EbonyWasabiLight Grey,BlueWhite",2016-05-21T13:41:58Z,Men's Trysail Boat Shoe,74.99,USD
AVpfS4qVLJeJML436e8l,"B00WVWTGX2,B015YJIKYE,B014RB6NNA,B014RB6CMM,B017JPU8A0,B011JZHEQ2,B005AV0F7M",Vans,"Athletic,Skateboarding,Men,Shoes,Clothing, Shoes & Jewelry","Black,Port RoyalePort,Dalmatians White,Burgundy,Rabbit HoleBlack,beige bleu,Red,DalmatiansWhite,BlackTrue White,Disney DalmatiansWhite,Denim CL Black",2016-04-09T18:18:44Z,Vans Mens Surplus Sk8-hi Reissue Sneaker,46.94,USD
